Year,Avg Geodesic Distance of Trade (km),Intra-regional Trade Share (%)
1990,7955.504820402479,32.157391318570376
1991,7895.877704280484,31.264466134236528
1992,7759.363315312996,31.737547563660833
1993,7831.075303416607,33.836677659705046
1994,7728.976440621612,35.3780560873048
1995,7586.887001913987,36.60875355186632
1996,7512.805592889291,36.746908798307935
1997,7384.0232008421945,36.02197389703278
1998,7342.358510628354,38.78892304893775
1999,7196.282280851453,41.75079860103112
2000,7166.921247207857,44.87624198413037
2001,7084.511791215353,46.47851506068044
2002,7001.978621678261,45.64155561340158
2003,6838.261783045631,45.77052695606198
2004,6906.510922155734,49.12627429020751
2005,6861.435183162045,47.8212446934954
2006,6761.020094668329,49.03320629116986
2007,6670.712658493662,51.54457806713874
2008,6381.376717384018,47.46565256288152
2009,6493.951634709176,54.90864463369023
2010,6321.407096552334,50.700199033241205
2011,6305.473148205943,58.03447885706254
2012,6219.372874141865,56.183433803504364
2013,5983.285388483976,56.831353247298814
2014,6135.730908729077,59.124025961238985
2015,6093.91974040617,59.13776398416599
2016,5925.8950617648,59.563659067972154
2017,5848.548392213908,60.49116617617343
2018,5798.0429185591665,64.52720250525762
2019,5686.0455912736315,67.29912855314956
2020,5430.240072827158,63.98736629977752
2021,5387.975421563045,68.49961947009506
2022,5643.898046255164,69.02474420289154
2023,5258.6221085107645,69.93788293292617
2024,5218.31338271132,71.86817398196538
2025,5176.0963660965235,72.16222587446948
