Year,Trade Volume (Normalized to GDP),Product Complexity Index
1990,101.57820233347752,45.50228725806497
1991,102.96366716124622,48.411025938017175
1992,96.79495979519862,52.477854567751656
1993,99.83059773568625,56.97825119080471
1994,106.44659567414423,62.876351869601976
1995,107.91610329576108,70.28707987542283
1996,117.10810475821569,75.14621477236156
1997,114.5060978925643,87.91891981383196
1998,110.48891353053921,92.79120400046303
1999,122.30687950771781,100.99884257353638
2000,124.22945910469855,118.04823374397954
2001,116.19602611923432,125.49776362564664
2002,119.72546988502897,134.54640032064256
2003,112.80958069133206,151.01835620352477
2004,130.67753576503807,168.13650765241746
2005,119.51061563771576,178.8938297542758
2006,126.01691944243343,195.14633358992123
2007,117.24518246094968,206.303557344304
2008,127.36465531146023,232.91278566999813
2009,129.78093911722812,244.8884159862345
2010,133.67240271569568,271.0315411752994
2011,138.12525713468767,292.4668903583822
2012,139.46504480490023,312.2353338113726
2013,139.5572332820768,332.39046409190746
2014,140.91605461685333,358.13794679348706
2015,141.54311706161815,382.14220412420195
2016,142.49393275443634,404.0999059874219
2017,156.83753162467335,424.5843166800091
2018,148.99503818880905,450.70253011804243
2019,152.33968293144954,477.23700834222205
2020,149.75107864739337,501.11760019350703
2021,152.66934453568194,536.1109287806377
2022,156.61640975059578,561.9497723722989
2023,148.86850394383126,594.09843671719
2024,155.18248769116897,623.4425169178779
2025,150.7733648821367,651.0274323602644
