source,target,complexity_score
0,5,91.98747760696935
0,8,58.201279912278544
1,3,63.41627158988128
1,4,52.296659622510525
1,6,97.10110590143134
1,7,78.39323020349943
1,9,75.16336375364261
1,10,71.90040583099116
2,9,77.90261449354148
2,12,89.94814848911415
2,29,85.29479662013604
3,12,52.863469511145
3,14,70.23743322074888
4,13,81.14495721472558
4,14,89.8602694225838
5,6,86.13863240412455
6,8,95.32484813628072
8,20,58.65295781120163
8,31,59.8199211028417
9,10,86.62360769920019
10,11,74.87264998569438
10,14,90.60620184080337
10,15,88.3267636979423
12,14,76.227448914069
13,29,96.69726345982299
13,47,64.90798467792834
15,20,50.09580677907439
15,21,98.96501949952302
15,22,79.76590479899161
15,23,69.66991246074693
15,26,55.74250116067977
16,23,86.11405849130608
17,24,88.54460610815818
17,29,90.7522818786459
18,19,80.97628537637962
18,25,81.4053311218259
18,26,95.43566688989483
18,29,80.97950185944026
19,23,69.33161280508648
20,21,67.47677428021782
20,26,81.95789084461504
21,23,61.23087717582506
21,28,90.44845417557306
21,29,72.54707380169829
22,26,83.39836949806279
22,27,62.75874592551944
23,24,59.315427705798164
23,27,89.80996334812546
23,44,68.88749423193832
24,28,86.33959212890748
25,28,98.25726612903723
26,29,71.42646660075526
27,37,60.40066184785127
28,29,56.64927531986887
30,31,82.92984624765592
30,34,79.9085138971629
30,35,73.32331758439247
30,37,92.45758019665116
30,38,64.13372342810949
30,41,79.80157959425841
30,42,74.12595763310875
30,43,76.60755693617108
30,45,92.20415779104903
31,36,81.11369806426137
31,38,93.2916748901074
31,40,64.12004243537075
31,42,93.1937132519203
31,45,63.10637784190427
31,48,51.81492491247642
32,36,60.83111801609395
32,41,78.721995517593
33,37,65.23821941541229
33,39,70.99459417811435
33,40,69.59093149863979
33,48,59.500801611452644
34,42,61.31367276672254
34,44,61.837427663365645
35,39,63.321660802684804
35,41,59.626567474470605
35,43,59.368922043849565
35,44,56.57091753176839
35,46,82.55561393311626
35,49,70.73522328984428
36,40,86.35537220784178
36,42,67.85683474266294
36,43,51.34817440249885
36,45,71.40751376219492
36,46,73.09421858244505
36,48,99.77382968813748
37,40,53.075046665210564
37,41,58.17262042109599
37,46,97.42766104961734
37,48,70.88452697035339
38,41,80.40295324534735
38,43,85.15588485176718
38,45,57.265754221788775
38,48,56.57469049189106
39,42,95.70277860547586
39,45,78.85768014732773
40,44,74.13076175516754
40,46,60.965967850954335
40,47,70.07945528768062
41,43,57.67767714337148
41,47,54.28913641395741
41,49,53.42380215941233
43,47,78.28594528701063
45,46,56.576450300899864
45,48,95.73701288163016
46,48,85.5999329478264
46,49,60.51093346171619
