Year,Multilateral (WTO-style) Hubs,Complex Bilateral (Mesh) Agreements
1990,98.78881870227855,20.455821086382084
1991,99.10124643229076,22.296227001583407
1992,99.18789577329942,29.590331443946503
1993,96.41797928625891,37.882278443071705
1994,91.35092797525536,23.704631294650596
1995,87.78704390544283,36.25142885745485
1996,86.43563252706716,34.79864190397572
1997,90.70264395271279,54.771462707731
1998,83.61556840729962,48.41874884814208
1999,84.66307969296405,54.12116530029798
2000,83.93188267211242,63.48108890977838
2001,81.57225170122807,73.12618092025767
2002,78.92332794366826,81.88165575356581
2003,78.73733273569147,95.51796873625763
2004,76.62499963898247,102.01695232317613
2005,75.48993709524508,117.28822639515963
2006,77.35696340754258,136.98885901277993
2007,70.53383690750022,160.4707661776944
2008,70.06292294762372,180.61354960274437
2009,68.35644566998948,188.0469288702256
2010,67.52834391588549,219.75873050935186
2011,65.32119562934257,252.5495272240145
2012,63.817971384130985,277.6016879605217
2013,65.00011546701279,318.46864820778046
2014,60.20838898642265,352.77463292243334
2015,60.05203165618565,412.9543624984857
2016,60.65943980011967,457.591227147111
2017,61.05545037434831,516.0504571898017
2018,60.66297266583574,581.1072553059057
2019,53.30817847235803,650.4537976408335
2020,56.54562535158217,736.9479045496976
2021,53.02587954169506,811.5102335269514
2022,53.791318122004846,929.5320589675482
2023,48.20261918555429,1045.1419740022372
2024,50.29176781156144,1182.7340312447816
2025,54.80711081599112,1333.1383430401959
